id,35S,BS,BS_35S,log2_BS_35S
AT2G32530,0.314372,0.120269,0.38257,-1.386204349
AT1G56650,0.219175,0.0837929,0.38231,-1.387185158
AT1G66540,0.189106,0.0713975,0.377553,-1.405248914
AT5G67390,0.469295,0.176618,0.376349,-1.409856957
AT3G09960,0.0222679,0.00837287,0.376007,-1.411168575
AT5G59340,0.0332879,0.0124311,0.373442,-1.421043902
AT3G19550,0.163332,0.0607986,0.37224,-1.425695003
AT5G21100,1.11481,0.413259,0.3707,-1.43167598
AT5G20150,0.440328,0.162832,0.369798,-1.435190673
AT1G24470,0.0703975,0.0258791,0.367614,-1.443736384
AT3G21690,1.8424,0.671553,0.364499,-1.456013238
AT3G09270,0.104581,0.0380921,0.364236,-1.457054574
AT1G07620,0.247746,0.0889906,0.359201,-1.477136728
AT3G17790,0.414158,0.148546,0.358669,-1.479275037
AT2G45560,0.432037,0.152942,0.354001,-1.498174659
AT1G13830,0.0455962,0.0160458,0.35191,-1.506721584
AT3G21670,1.94068,0.6742,0.347405,-1.525309577
AT3G20100,0.72489,0.249743,0.344526,-1.537315233
AT1G64900,1.34237,0.461703,0.343946,-1.539746017
AT2G32290,0.454212,0.155339,0.341998,-1.547940207
AT5G16530,0.0525976,0.0179514,0.341297,-1.550900362
AT1G09240,0.267923,0.0913394,0.340916,-1.552511785
AT5G46350,0.097786,0.0330878,0.33837,-1.563326431
AT5G05250,0.841245,0.280909,0.33392,-1.582425589
AT1G65870,0.219974,0.0726971,0.33048,-1.59736513
AT1G13080,1.1229,0.370659,0.330092,-1.599059921
AT3G28510,0.260631,0.0852924,0.327253,-1.611521677
AT5G65090,0.0260793,0.00852303,0.326812,-1.613467137
AT5G05840,0.0595984,0.0192568,0.323109,-1.629907158
AT5G24160,0.430839,0.138454,0.321359,-1.637742218
AT1G56600,0.328057,0.104581,0.318789,-1.649326246
AT4G27030,0.918949,0.291697,0.317424,-1.655516882
AT3G01420,0.124166,0.039393,0.31726,-1.656262457
AT1G79770,0.0708974,0.022268,0.314087,-1.670763864
AT1G13520,0.0486967,0.0152426,0.313011,-1.675714737
